hora,tipo_sinal,direcao,tamanho_canal_pct_atr,distancia_sma_pct_atr,rsi,vela_gatilho_corpo_pct,aceleracao_velas_contra,vela_1_antes_corpo_pct,vela_1_antes_favor,vela_2_antes_corpo_pct,vela_2_antes_favor,alvo_win
12,1,-1,0.4641350210972941,0.536990154711677,44.77487554317007,0.5454545454545454,1,0.147058823529066,-1,0.5507246376813413,1,1
13,0,1,1.2887438825444772,2.576019575855905,61.80224215884871,0.0238095238096748,1,0.6290322580642735,-1,0.8441558441557205,1,1
15,0,-1,1.475694444444478,2.470312499999821,34.615143850115274,0.3970588235293925,0,0.30612244897986,1,0.1250000000002081,1,1
15,0,-1,1.450511945392527,2.2563139931739684,35.88374909876765,0.0499999999997779,1,0.3970588235293925,-1,0.30612244897986,1,1
16,0,-1,0.2642559109876523,0.3196105702364987,44.72217332989843,0.3835616438356331,0,0.2439024390243506,1,0.4177215189872315,1,1
16,0,-1,0.2574525745259062,1.176016260162248,38.89713227858431,0.8219178082189531,1,0.3835616438356331,-1,0.2439024390243506,1,1
16,0,-1,0.2519893899205845,0.4510610079576136,45.06199799389145,0.6666666666666666,0,0.8219178082189531,1,0.3835616438356331,-1,1
16,0,-1,0.6758832565283639,1.2689708141320943,41.877139785031936,0.4531250000000542,0,0.1081081081076215,1,0.7400000000000444,1,1
16,0,-1,0.6758832565283639,1.2689708141320943,41.877139785031936,0.4531250000000542,0,0.1081081081076215,1,0.7400000000000444,1,1
20,0,-1,0.6774668630340751,2.9559646539030844,37.6408700845552,0.6153846153846592,0,0.4423076923075363,1,0.6545454545452417,1,1
20,0,-1,0.7153965785383072,3.378849144634511,36.15585427616498,0.4418604651161469,1,0.6153846153846592,-1,0.4423076923075363,1,1
21,0,1,1.2824427480918577,5.898931297709831,66.5704541528252,0.5571428571429025,0,0.2923076923075399,1,0.7755102040817436,1,1
16,0,1,0.2239789196311051,1.0094861660078565,51.67155580595817,0.5365853658538963,0,0.3255813953489573,1,0.0175438596492389,-1,1
17,0,-1,0.6471494607085861,3.4513097072419123,51.303737633051966,0.5591397849462597,0,0.0566037735848424,1,0.7924528301885448,-1,1
17,1,-1,0.3366058906031069,2.4091164095370456,48.87259702206721,0.4905660377357858,1,0.0196078431373829,-1,0.5000000000001354,1,1
17,0,-1,0.4625199362043439,1.9518341307814957,53.48114626859698,0.6781609195403913,0,0.3174603174603286,1,0.4905660377357858,1,1
19,0,1,0.6885758998438818,0.051956181533753,46.844474607589575,0.3431372549018071,0,0.1481481481483004,1,0.5930232558140616,1,1
19,0,1,1.2125340599452592,1.0167574931881145,54.14195945115784,0.7530864197531068,0,0.5348837209299323,1,0.815533980582585,1,1
19,0,1,1.1424903722719375,1.348395378690359,56.599435709446986,0.4788732394366373,1,0.7530864197531068,-1,0.5348837209299323,1,1
21,0,1,0.7096774193548849,1.5488709677420909,64.36401225739522,0.0799999999999289,0,0.2083333333333911,1,0.4714285714288569,1,1
7,0,-1,0.5413105413103242,3.840883190883398,31.490558237437853,0.0158730158731221,1,0.2162162162161432,-1,0.5694444444446072,1,0
8,1,-1,0.7798960138645026,1.619064124783471,52.869865328016665,0.8584905660380442,1,0.4255319148935969,-1,0.1538461538462852,1,1
9,0,1,0.4823151125405395,3.1215434083602074,55.36559523696859,0.811111111111133,0,0.1304347826090944,1,0.1860465116281231,-1,1
14,0,-1,1.0876623376623031,5.351785714285843,39.36906721542493,0.5789473684211018,0,0.9180327868850728,1,0.9846153846156264,1,1
